id,sentiment,text,language_labels,clean_text,labels,rf_prediction
182,negative,@ tamashbeen _ Well chara Chor ke chele this news is a year old ...,"['O', 'Eng', 'O', 'Eng', 'Eng', 'Hin', 'Hin', 'Hin', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'O']",mention tamashbeen well chara chor ke chele this news is a year old,0,neutral
701,positive,@ suhailswarraich Journals k bare me . Bt ki isne jbhi isko ye cripption Ka certificate dia Gaya h,"['O', 'Eng', 'Eng', 'Eng', 'Hin', 'Hin', 'O', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Eng', 'Eng', 'Eng', 'Eng', 'Hin', 'Hin']",mention suhailswarraich journals k bare me bt ki isne jbhi isko ye cripption ka certificate dia gaya h,2,neutral
1093,negative,@ SKFforlife Haha Overrated kisko bolte hain chuuuu pehle yeh pata kar BC ata pata kuchh nahi chale aate hain … https // t co / BwbGTOzGs5,"['O', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Eng', 'Eng', 'Eng', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'O', 'Eng', 'O', 'Eng', 'Hin', 'O', 'Eng']",mention skfforlife haha overrated kisko bolte hain chuuuu pehle yeh pata kar bc ata pata kuchh nahi chale aate hain t co bwbgtozgs5,0,negative
1106,positive,I wanted to see you in Loksabha @ kanhaiyakumar It's OK kanhaiya ji vichaar badlenge desh badlega vidhyarthi … https // t co / mE0EgrIsXp,"['Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Hin', 'O', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'O', 'Eng', 'O', 'Eng', 'Eng', 'O', 'Eng']",i wanted to see you in loksabha mention kanhaiyakumar its ok kanhaiya ji vichaar badlenge desh badlega vidhyarthi t co me0egrisxp,2,neutral
1156,negative,@ abpnewshindi ABP news 5 saal se mon nahi bhara Congress ko koste sawal karte ab tweet duwara mazaak urane aare … https // t . co / viwYGAryec,"['O', 'Hin', 'Eng', 'Eng', 'O', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'O', 'Eng', 'O', 'Eng', 'O', 'Hin', 'O', 'Hin']",mention abpnewshindi abp news 5 saal se mon nahi bhara congress ko koste sawal karte ab tweet duwara mazaak urane aare t co viwygaryec,0,neutral
1202,neutral,I miss them we were a craze .. we used for them .. bas koi kuch galat bolde .. old memories https // t . co / NeN57fFIVM,"['Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'O', 'Eng', 'Eng', 'Eng', 'Eng', 'O', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'O', 'Eng', 'Eng', 'Eng', 'O', 'Eng', 'O', 'Eng', 'O', 'Eng']",i miss them we were a craze we used for them bas koi kuch galat bolde old memories t co nen57ffivm,1,neutral
1362,positive,RT @ Sukhjaykumar1 # PledgeAgainstCorruption @ Gurmeetramrahim Good afternoon guru g . bless us and give us power to do more and more Sewa S …,"['Eng', 'O', 'Eng', 'O', 'Eng', 'O', 'Eng', 'Eng', 'Eng', 'Eng', 'Hin', 'O', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Hin', 'Eng', 'Eng', 'Hin', 'Hin', 'Hin', 'O']",rt mention sukhjaykumar1 hashtag pledgeagainstcorruption mention gurmeetramrahim good afternoon guru g bless us and give us power to do more and more sewa s,2,positive
1410,neutral,@ theskindoctor13 Doc saab bahut he badhiya video banaya andhere se much better hai,"['O', 'Eng', 'Eng', 'Eng', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Eng', 'Eng', 'Eng', 'Hin']",mention theskindoctor13 doc saab bahut he badhiya video banaya andhere se much better hai,1,neutral
1420,positive,@ kamaalrkhan If i am not wrong you loved soty 2 naa ??😹😹,"['O', 'Hin', 'Hin', 'Hin', 'Hin', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'O', 'Hin', 'O']",mention kamaalrkhan if i am not wrong you loved soty 2 naa,2,neutral
1693,positive,RT @ The _ Loyal _ Guy @ tooterforiphone Allah apko kushiyaan naseeb farmai bhai jan duaon me yad rkhna,"['Eng', 'O', 'Eng', 'O', 'Eng', 'O', 'Eng', 'O', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin']",rt mention the loyal guy mention tooterforiphone allah apko kushiyaan naseeb farmai bhai jan duaon me yad rkhna,2,neutral
1809,positive,BJP is now garibo ki Party who thinks for everyone and Congress is now ' kisi ki bhi party nahi ' who thinks only for self,"['Eng', 'Eng', 'Eng', 'Hin', 'Hin', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'O', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'O', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng']",bjp is now garibo ki party who thinks for everyone and congress is now kisi ki bhi party nahi who thinks only for self,2,neutral
1843,neutral,@ janupande Tumhari marzi chhor do twitter yehi agar Facebook hota na toh tum log chhorne Ka sochte tak nhi P … https // t co / wt0H71oE2G,"['O', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Eng', 'O', 'Eng', 'O', 'Eng', 'Eng', 'O', 'Eng']",mention janupande tumhari marzi chhor do twitter yehi agar facebook hota na toh tum log chhorne ka sochte tak nhi p t co wt0h71oe2g,1,neutral
2129,neutral,@ LambaAlka Tumhare jaisa besharm ko jab jaanta ne chun tab v hume itna hi dukh hua tha . Visashyak to chuna tha delh … https // t . co / fHRZjR4wwh,"['O', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'O', 'Eng', 'Eng', 'Hin', 'Hin', 'Hin', 'O', 'Eng', 'O', 'Eng', 'O', 'Eng', 'O', 'Hin']",mention lambaalka tumhare jaisa besharm ko jab jaanta ne chun tab v hume itna hi dukh hua tha visashyak to chuna tha delh t co fhrzjr4wwh,1,neutral
2481,neutral,@ sardesairajdeep @ aajtak @ IndiaToday Kyu congress aur SP ke spokesperson nahi arahe hai to politics se cricket me agaye,"['O', 'Hin', 'O', 'Hin', 'O', 'Hin', 'Eng', 'Eng', 'Hin', 'Hin', 'Eng', 'Eng', 'Eng', 'Hin', 'Hin', 'Hin', 'Eng', 'Eng', 'Hin', 'Hin', 'Hin']",mention sardesairajdeep mention aajtak mention indiatoday kyu congress aur sp ke spokesperson nahi arahe hai to politics se cricket me agaye,1,neutral
2703,positive,@ WertesFraeulein Long before rock n roll und you can ‘ t Steal my Love von Mando diao ; don ‘ t matter ( Kings of leon );… https // t co / lvSzReM2vB,"['O', 'Eng', 'Eng', 'Eng', 'Eng', 'Hin', 'Eng', 'Eng', 'Eng', 'Eng', 'O', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'O', 'Hin', 'O', 'Eng', 'Eng', 'O', 'Eng', 'Eng', 'Eng', 'O', 'Eng', 'O', 'Eng', 'Hin', 'O', 'Hin']",mention wertesfraeulein long before rock n roll und you can t steal my love von mando diao don t matter kings of leon t co lvszrem2vb,2,neutral
3009,negative,@ MaryamNSharif Nwaz chor b to chori kr k aaya tha2013 main . 4 halqy kiun nai kholy agar Sacha tha to 🤔🤔🤔🤔🤔,"['O', 'Hin', 'Hin', 'Eng', 'Eng', 'Hin', 'Hin', 'Hin', 'Hin', 'Eng', 'Eng', 'Eng', 'O', 'O', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Eng', 'O']",mention maryamnsharif nwaz chor b to chori kr k aaya tha2013 main 4 halqy kiun nai kholy agar sacha tha to,0,negative
3197,positive,@ iamirpathan @ ansarraza16 Hahahaha ... Allah aisey Maulana Sahab Se kaum ki hifazat farmayee .. Ye Mudde uthane nahi … https // t . co / g8mAu9PF0S,"['O', 'Eng', 'O', 'Eng', 'Eng', 'O', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'O', 'Hin', 'Hin', 'Hin', 'Hin', 'O', 'Eng', 'O', 'Eng', 'O', 'Eng', 'O', 'Eng']",mention iamirpathan mention ansarraza16 hahahaha allah aisey maulana sahab se kaum ki hifazat farmayee ye mudde uthane nahi t co g8mau9pf0s,2,neutral
3217,negative,@ rssurjewala @ manakgupta ABEY RANDI TERI GARDAN KO KYA HUA RE ??? MUFT KA MAAL MILNA BAND HO GAYA TOH ....... TOH … https // t . co / Hg3SPdk2Gy,"['O', 'Hin', 'O', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'O', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'O', 'Hin', 'O', 'Eng', 'O', 'Eng', 'O', 'Eng', 'O', 'Eng']",mention rssurjewala mention manakgupta abey randi teri gardan ko kya hua re muft ka maal milna band ho gaya toh toh t co hg3spdk2gy,0,negative
